pokedex_number,name,generation,status,species,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,growth_rate,egg_type_1,egg_type_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,url,id
1,Bulbasaur,1,Normal,Seed Pokémon,Grass,Poison,0.7,6.9,318.0,45.0,49.0,49.0,65.0,65.0,45.0,45.0,Medium Slow,Grass,Monster,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/bulbasaur.png,0
2,Ivysaur,1,Normal,Seed Pokémon,Grass,Poison,1.0,13.0,405.0,60.0,62.0,63.0,80.0,80.0,60.0,45.0,Medium Slow,Grass,Monster,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/ivysaur.png,1
3,Venusaur,1,Normal,Seed Pokémon,Grass,Poison,2.0,100.0,525.0,80.0,82.0,83.0,100.0,100.0,80.0,45.0,Medium Slow,Grass,Monster,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/venusaur.png,2
3,Mega Venusaur,1,Normal,Seed Pokémon,Grass,Poison,2.4,155.5,625.0,80.0,100.0,123.0,122.0,120.0,80.0,45.0,Medium Slow,Grass,Monster,20.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://www.serebii.net/xy/pokemon/003-m.png,3
4,Charmander,1,Normal,Lizard Pokémon,Fire,,0.6,8.5,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,Medium Slow,Dragon,Monster,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,https://img.pokemondb.net/sprites/bank/normal/charmander.png,4
5,Charmeleon,1,Normal,Flame Pokémon,Fire,,1.1,19.0,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,Medium Slow,Dragon,Monster,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,https://img.pokemondb.net/sprites/bank/normal/charmeleon.png,5
6,Charizard,1,Normal,Flame Pokémon,Fire,Flying,1.7,90.5,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,Medium Slow,Dragon,Monster,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,https://img.pokemondb.net/sprites/bank/normal/charizard.png,6
6,Mega Charizard X,1,Normal,Flame Pokémon,Fire,Dragon,1.7,110.5,634.0,78.0,130.0,111.0,130.0,85.0,100.0,45.0,Medium Slow,Dragon,Monster,20.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,https://www.serebii.net/xy/pokemon/006-mx.png,7
6,Mega Charizard Y,1,Normal,Flame Pokémon,Fire,Flying,1.7,100.5,634.0,78.0,104.0,78.0,159.0,115.0,100.0,45.0,Medium Slow,Dragon,Monster,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,https://www.serebii.net/xy/pokemon/006-my.png,8
7,Squirtle,1,Normal,Tiny Turtle Pokémon,Water,,0.5,9.0,314.0,44.0,48.0,65.0,50.0,64.0,43.0,45.0,Medium Slow,Monster,Water 1,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,https://img.pokemondb.net/sprites/bank/normal/squirtle.png,9
8,Wartortle,1,Normal,Turtle Pokémon,Water,,1.0,22.5,405.0,59.0,63.0,80.0,65.0,80.0,58.0,45.0,Medium Slow,Monster,Water 1,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,https://img.pokemondb.net/sprites/bank/normal/wartortle.png,10
9,Blastoise,1,Normal,Shellfish Pokémon,Water,,1.6,85.5,530.0,79.0,83.0,100.0,85.0,105.0,78.0,45.0,Medium Slow,Monster,Water 1,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,https://img.pokemondb.net/sprites/bank/normal/blastoise.png,11
9,Mega Blastoise,1,Normal,Shellfish Pokémon,Water,,1.6,101.1,630.0,79.0,103.0,120.0,135.0,115.0,78.0,45.0,Medium Slow,Monster,Water 1,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,https://www.serebii.net/xy/pokemon/009-m.png,12
10,Caterpie,1,Normal,Worm Pokémon,Bug,,0.3,2.9,195.0,45.0,30.0,35.0,20.0,20.0,45.0,255.0,Medium Fast,Bug,,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/caterpie.png,13
11,Metapod,1,Normal,Cocoon Pokémon,Bug,,0.7,9.9,205.0,50.0,20.0,55.0,25.0,25.0,30.0,120.0,Medium Fast,Bug,,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/metapod.png,14
