LOCATION,SUBJECT,TIME,Value,CO2
AUS,BEEF,1991,27.7218154779186,1829.6398215426277
AUS,BEEF,1992,26.199590974358106,1729.173004307635
AUS,BEEF,1993,26.169094098981,1727.160210532746
AUS,BEEF,1994,25.4561344070509,1680.1048708653595
AUS,BEEF,1995,25.3402262814921,1672.4549345784785
AUS,BEEF,1996,27.2591040290769,1799.1008659190757
AUS,BEEF,1997,28.802913179629602,1900.992269855554
AUS,BEEF,1998,26.590476609471,1754.9714562250863
AUS,BEEF,1999,27.918282977739,1842.6066765307742
AUS,BEEF,2000,26.3546243250795,1739.4052054552471
AUS,BEEF,2001,24.460361570528804,1614.3838636549012
AUS,BEEF,2002,25.116185531852498,1657.668245102265
AUS,BEEF,2003,25.811711380471106,1703.5729511110933
AUS,BEEF,2004,28.5666444410253,1885.3985331076701
AUS,BEEF,2005,27.06126787868489,1786.0436799932029
AUS,BEEF,2006,26.9251671242306,1777.0610301992197
AUS,BEEF,2007,24.097615521471802,1590.442624417139
AUS,BEEF,2008,23.301062531129602,1537.8701270545537
AUS,BEEF,2009,23.432423328325896,1546.539939669509
AUS,BEEF,2010,25.3004857895539,1669.8320621105577
AUS,BEEF,2011,23.2827702747972,1536.6628381366154
AUS,BEEF,2012,22.4272426868263,1480.198017330536
AUS,BEEF,2013,23.7283312014827,1566.0698592978583
AUS,BEEF,2014,22.5623087650667,1489.1123784944023
AUS,BEEF,2015,19.6992156542418,1300.1482331799589
AUS,BEEF,2016,22.051026183814106,1455.3677281317312
AUS,BEEF,2017,20.939368542138396,1381.9983237811343
AUS,BEEF,2018,20.4833254596177,1351.8994803347682
AUS,BEEF,2019,20.197778443498894,1333.053377270927
AUS,BEEF,2020,20.2274657594685,1335.012740124921
AUS,BEEF,2021,20.1303356450519,1328.6021525734254
AUS,BEEF,2022,19.9513946757099,1316.7920485968534
AUS,BEEF,2023,19.826832877244502,1308.5709698981373
AUS,BEEF,2024,19.6692838597189,1298.1727347414476
AUS,BEEF,2025,19.5406445836845,1289.682542523177
AUS,BEEF,2026,19.401266617988107,1280.4835967872152
AUS,PIG,1991,14.3964762598799,112.58782716059923
AUS,PIG,1992,15.1292467203512,118.31846794120808
AUS,PIG,1993,14.870676526691101,116.29631642668681
AUS,PIG,1994,15.5966906071944,121.9741188511357
AUS,PIG,1995,15.5047171324105,121.25483911244109
AUS,PIG,1996,14.459520182505601,113.08086296574893
AUS,PIG,1997,14.7153330040867,115.08145041657548
AUS,PIG,1998,15.1659320798485,118.60536626548186
AUS,PIG,1999,15.0694735328876,117.8510109623261
AUS,PIG,2000,15.2064536327073,118.9222655891212
AUS,PIG,2001,15.207590621026899,118.9311574208514
AUS,PIG,2002,15.9630117290399,124.83893788095307
AUS,PIG,2003,17.414557842804694,136.1907728732162
AUS,PIG,2004,17.7025989334754,138.44340191564095
AUS,PIG,2005,18.6201897043752,145.61943230344707
AUS,PIG,2006,17.9589995616859,140.4485863157487
AUS,PIG,2007,19.6800699229389,153.9082391409324
AUS,PIG,2008,19.282073702309397,150.79570459498376
AUS,PIG,2009,19.869322772957602,155.38829348082228
AUS,PIG,2010,20.1572013805256,157.63965182205916
AUS,PIG,2011,19.6201728664656,153.43981344287204
AUS,PIG,2012,20.5293338082066,160.549918243667
AUS,PIG,2013,19.9870804231888,156.30921869416883
AUS,PIG,2014,19.9871331979503,156.30963141986774
AUS,PIG,2015,21.736934480254998,169.9939747814814
AUS,PIG,2016,20.4955304652877,160.28555876699355
AUS,PIG,2017,20.6663981381898,161.6218315935356
AUS,PIG,2018,20.6483087416526,161.4803632360011
AUS,PIG,2019,20.6725333424887,161.66981203741162
AUS,PIG,2020,20.7237889821808,162.07065742474728
AUS,PIG,2021,20.7731046595717,162.4563313120351
AUS,PIG,2022,20.7951469523552,162.62871334534196
AUS,PIG,2023,20.8458252577847,163.02504368267523
AUS,PIG,2024,20.881856608946,163.30682732637257
AUS,PIG,2025,20.9332448603077,163.70870980497048
AUS,PIG,2026,20.9951503255638,164.1928422896656
AUS,POULTRY,1990,21.7675783756663,133.5737763961341
AUS,POULTRY,1991,22.056736165646,135.34815374373682
AUS,POULTRY,1992,22.072118066501798,135.44254268080647
AUS,POULTRY,1993,23.2513771840436,142.67890544754027
AUS,POULTRY,1994,23.993305826932502,147.23164939254033
AUS,POULTRY,1995,23.578497874014396,144.68623695417924
AUS,POULTRY,1996,24.023558211497306,147.41728902509712
AUS,POULTRY,1997,25.2469211075845,154.92428861472308
AUS,POULTRY,1998,27.170699923647103,166.7292949860163
AUS,POULTRY,1999,27.4507813454279,168.44797643785301
AUS,POULTRY,2000,29.192492311112694,179.13574827273698
AUS,POULTRY,2001,28.7735459721977,176.5649411930313
AUS,POULTRY,2002,31.949187672171107,196.05183344286814
AUS,POULTRY,2003,30.867401225269198,189.41359842778826
AUS,POULTRY,2004,32.315503555257,198.29968090725887
AUS,POULTRY,2005,33.5805832575477,206.06266998949724
AUS,POULTRY,2006,35.0500645206876,215.0799413769466
AUS,POULTRY,2007,34.6704840016535,212.75069728287372
AUS,POULTRY,2008,33.2014174945583,203.73597098933502
AUS,POULTRY,2009,33.5478125013034,205.86157671254358
AUS,POULTRY,2010,37.6306664596537,230.9154532751477
AUS,POULTRY,2011,39.4917752962188,242.3358938631608
AUS,POULTRY,2012,40.30562166085621,247.32995110070857
AUS,POULTRY,2013,40.1344757478632,246.279737543706
AUS,POULTRY,2014,40.80191749568721,250.37540281444424
AUS,POULTRY,2015,41.23261362795979,253.01831089884416
AUS,POULTRY,2016,43.58735929875999,267.4678866060272
AUS,POULTRY,2017,44.4678357462774,272.87081026124764
AUS,POULTRY,2018,45.1458924592961,277.0316128184079
AUS,POULTRY,2019,45.532941521266096,279.40668660776925
