index,genres,valence,acousticness,danceability,energy,instrumentalness,liveness,speechiness
0,21st century classical,0.10378333333333334,0.9793333333333332,0.16288333333333335,0.07131666666666665,0.60683367,0.3616,0.04056666666666667
1,432hz,0.22175,0.49478,0.2993333333333333,0.4506783333333333,0.4777616666666668,0.131,0.07681666666666667
2,8-bit,0.975,0.762,0.7120000000000001,0.818,0.8759999999999999,0.126,0.047
3,[],0.5136042963588958,0.6514170195595453,0.5290925603549332,0.4191460727353524,0.2053091895111363,0.21869585415040732,0.10787155868681396
4,a cappella,0.44824865455840457,0.676557304985755,0.5389612464387464,0.3164335701566952,0.003003441440420227,0.1722541371082621,0.08285143981481483
5,abstract,0.307325,0.45921000000000006,0.5161666666666667,0.4424166666666666,0.8496666666666667,0.1180666666666667,0.04651666666666666
6,abstract beats,0.4935066666666666,0.3421466666666667,0.623,0.5277999999999999,0.3336026120000001,0.09965333333333334,0.11637333333333333
7,abstract hip hop,0.5713909090909091,0.2438540633608816,0.6945709366391184,0.6462346418732783,0.0242312629201102,0.1685429201101929,0.21425769972451789
8,accordeon,0.7090000000000001,0.32299999999999995,0.588,0.392,0.441,0.0794,0.0727
9,accordion,0.6586875000000001,0.446125,0.6248125,0.3734375,0.19373839375,0.1603,0.07853750000000001
10,acid house,0.5676769230769231,0.06795053846153845,0.6774,0.7244030769230769,0.3858910307692308,0.2334884615384616,0.05585538461538461
11,acid rock,0.5344474777454798,0.2569145079725167,0.4472389930828895,0.5806492948018793,0.15092567737840148,0.2304514628310576,0.06759985278233482
12,acid trance,0.843,0.00683,0.6629999999999999,0.925,0.703,0.185,0.0449
13,acousmatic,0.3244473852657005,0.9170191062801932,0.4204582850241546,0.2385243417874396,0.6162484134359903,0.2610061823671498,0.08061773913043478
14,acoustic blues,0.633785722320662,0.761723539455837,0.6069147720232645,0.3606592945953496,0.09891813613614234,0.18309821355287112,0.06881536422902226
15,acoustic pop,0.3794153530026807,0.4902350260381985,0.5351083171521532,0.4764399220103099,0.033338280109024794,0.1577504987283953,0.04177066481431856
16,acoustic punk,0.7305188246097337,0.4049000220385675,0.5391115702479339,0.6158241505968779,0.061939951303948575,0.20948062442607893,0.06357052341597796
