Pais,score,LPIB,PrevSocial,HLY,Libertad,Generosidad,AntiCorrup
Finland,1.0,0.8363437903290737,0.9689567380044364,0.8448403617177899,0.9553513210298761,0.2802151535278904,0.8962699289611376
Denmark,0.9688846883089915,0.8635186811051853,0.9714918988076062,0.8607139620349322,0.9592793472594566,0.4260925575717627,0.9289111218118873
Switzerland,0.9525353362056025,0.9050535899578575,0.9514308487364932,0.9145018479604898,0.9072283271160692,0.47218190586790054,0.7651440840922842
Iceland,0.9419664678282934,0.863227850356228,1.0,0.8796193242110275,0.9548666930363151,0.635874879830472,0.2711009275809163
Norway,0.9388186949678912,0.9268103903062062,0.9661436631312491,0.8859722888903463,0.9667237319049371,0.5054021264594689,0.8141997761426644
Netherlands,0.9313594839186607,0.8713263254691253,0.9457719491707175,0.8574997003606751,0.8851185815310105,0.5902236658696961,0.6912900940384971
Sweden,0.9131595654314988,0.8604514821452287,0.9261940421152484,0.8669872638930534,0.9380145822819047,0.47880188326266937,0.8291404371214163
New Zealand,0.9028768830933301,0.8084448954684331,0.9610039301614758,0.8860307079550545,0.9329547967462113,0.5716362713263833,0.865155571364154
Austria,0.901846668295382,0.8572304037777962,0.9288415516790565,0.8796985038744036,0.8703226591776466,0.44840927519630874,0.527524536094381
Luxembourg,0.8910298206013036,1.0,0.8965867478278557,0.8669628823002049,0.8800852782481821,0.3438911678972212,0.6884235812235953
Canada,0.8899996056125811,0.8470539818398624,0.9275149306393076,0.8986545606018438,0.9289711245920341,0.49407182658115506,0.6596526442834744
Australia,0.8882253616742769,0.85274732225764,0.9544955483871639,0.8987474999798235,0.8970197229110951,0.570315529901701,0.6301954753871268
United Kingdom,0.8771033157699203,0.8284511284698667,0.942023515768356,0.8575214263257573,0.7575236019015905,0.6553605249726897,0.6050722334603084
Israel,0.8702545013320204,0.7916201183089403,0.906749953282134,0.8859556321272709,0.6068332365564718,0.4683315933904215,0.18736970619219961
Costa Rica,0.8688808812198746,0.6384609765442019,0.888396597657312,0.8258249202428176,0.930398626592125,0.23036705916728983,0.18073691167523342
Ireland,0.8635964471266072,0.941569146728381,0.9502632454842092,0.8574955965250826,0.8478365865683748,0.5184623840060257,0.7004120913167079
Germany,0.8601815915882501,0.8552124685905035,0.8843193077172299,0.8543704121303284,0.8139309094204624,0.4423159494699598,0.5802404455462068
United States of America,0.8341981604803941,0.8941291201519186,0.9077386184075537,0.7308908645886883,0.7711396411734955,0.5232289769294111,0.2856255197711398
Czech Republic,0.8287229659638661,0.7889251149389108,0.9080616539083091,0.7862130990202977,0.7295055841014677,0.08130012249443702,0.09341101047028577
Belgium,0.8196802712088177,0.8432764374231513,0.9037910518177296,0.8480304832199049,0.7209387170638889,0.257919635539979,0.3914831894816375
United Arab Emirates,0.8058109854617175,0.9312869309329969,0.8084758876898224,0.692392869908966,0.9418202936276753,0.4925398316188945,0.41303286321729915
Malta,0.8023770265621748,0.8150795940791444,0.9324032219790634,0.8543064407057919,0.9134085360046154,0.5987584956557245,0.3354777681848822
France,0.7815826039317061,0.8252417825651875,0.9426659482402062,0.9049932824087372,0.7414868966208725,0.19762194024898724,0.42633035703417466
Mexico,0.743656775524443,0.6666255042848522,0.7924265378724845,0.7308758977705547,0.7989560996045902,0.14582744300587958,0.15592565776516876
Taiwan,0.7418253125018559,0.8638583698871031,0.8773515249437998,0.7720399310493227,0.6482383236236726,0.26429461640038643,0.24667229008799818
Uruguay,0.7389065065963112,0.6969591530146314,0.920852355487034,0.7531360173974633,0.8571938221305674,0.23190680160146598,0.36278840043181926
Saudi Arabia,0.7324964318984413,0.8683212539030458,0.8464575464478763,0.6677875341721085,0.7911451800409309,0.1534548563824088,0.3063276078971029
Spain,0.7314281011866217,0.8007772822930821,0.9182793503124466,0.9240024472617631,0.6144555802815261,0.29010441550523625,0.20552802634951672
Guatemala,0.7310465805308748,0.4905495031684536,0.758782433813711,0.6204462765659673,0.8844266233262706,0.29941652738598257,0.18448475309815204
Italy,0.7288527002137265,0.8045911818139923,0.8705895190321657,0.8986572159132004,0.46346359939917475,0.29881027000837984,0.07529715139053084
Singapore,0.726887696042936,0.9888747189186461,0.9017099227404626,1.0,0.9164061582949024,0.3839340629622662,1.0
Brazil,0.7266015100037955,0.6199614150340551,0.8810369159358625,0.6733252856748223,0.6971201521613061,0.23108356161941232,0.19978648413951683
Slovenia,0.7242740883476696,0.7865369083097853,0.9464386700490343,0.8195960363140951,0.9328253694464014,0.25570022103253015,0.14351414864202838
El Salvador,0.7213933981652223,0.4873768967942067,0.7427124341195672,0.6615579259812678,0.7559012380287248,0.20872837823205714,0.21950233338797276
Kosovo,0.7169865343605141,0.546947611968309,0.7650476522234745,0.591229326616144,0.8038428705210308,0.5708652278326457,0.01605332136286186
Panama,0.71309473255053,0.7143130838084787,0.8892337967757865,0.7721352846343623,0.836397814466246,0.17059487344548735,0.10171486991317902
Slovakia,0.7084780049613759,0.7775468951109624,0.9203677564490343,0.7500919437153233,0.6109341754042011,0.2048560060615106,0.021178246455585192
Uzbekistan,0.7040901535185794,0.4533505295349443,0.9266284251704936,0.6298952159494815,1.0,0.6375960767619331,0.5256566416535525
Chile,0.6985386365565828,0.7138735652214333,0.8550754390517895,0.781551876490959,0.6021925407114371,0.27303484530476585,0.11788035632044336
Bahrain,0.698309760600999,0.8438292488012065,0.8499297934713178,0.7372348973347043,0.8804644889646382,0.5044695977949342,0.23763358648990074
Lithuania,0.6960585703910679,0.7767151770547417,0.9258825601671479,0.6990782443220407,0.6064889586250656,0.09422559724306347,0.1525807136758094
Trinidad and Tobago,0.6915562807797057,0.7598488532216623,0.9093795403401526,0.5790299785832339,0.7975692995028678,0.34986563405668225,0.028281064651914156
Poland,0.69048795025866,0.7608819593943409,0.8467481053242008,0.7628999858059495,0.8047416420160974,0.11121922713005285,0.3011114489541613
Colombia,0.6861192929855486,0.6066364296985798,0.8622893857557548,0.7119089780605731,0.7600066078735875,0.1621127775379621,0.0859932786127049
Cyprus,0.6852798384200869,0.7892355663510385,0.742565881043401,0.9018384054820121,0.6626359714270287,0.4000119788102848,0.0960442067693047
Nicaragua,0.6811019415702362,0.4034897903281172,0.821167884994136,0.7058210724334093,0.8079349473744926,0.3735807906736957,0.326513335511453
Romania,0.6785455529592529,0.729107231243878,0.7718164819044505,0.6963306118525588,0.7714917507151303,0.11965597566263612,0.0015559403305501762
Kuwait,0.6744247840036373,0.927217978926285,0.8043461076859484,0.6824215375673245,0.8225671285649531,0.23297277365080882,0.21159588448425926
Mauritius,0.674272139494248,0.6986924110964017,0.9018455602276474,0.67092623717717,0.8522477989453947,0.3279923283337603,0.15771603352530905
Kazakhstan,0.6659925770499676,0.7305340778177489,0.9390657986575658,0.6141502827435305,0.7175154113166275,0.2697614449865466,0.20718588228116197
Estonia,0.6591056468889704,0.7759873287078766,0.9390430547947305,0.7405558584179546,0.8318036950916667,0.21960989927089863,0.37843420470377076
Philippines,0.6560914153675457,0.5044138354842533,0.8047350045417518,0.5292511688827247,0.897074544182694,0.2268464036509867,0.24455170158026973
Hungary,0.6550230846557259,0.7576789627749888,0.9195136360309185,0.7090734754151187,0.557360953014922,0.12370925797626116,0.051669400602334936
Thailand,0.654717795446174,0.6553296097583798,0.8707339796485314,0.6977024968798567,0.8790939710053288,0.6611089738728099,0.059715153051628556
Argentina,0.6501201712182052,0.6692793452058363,0.8869039564919765,0.746847506984093,0.7512803269403023,0.12302348077905206,0.11331459382146392
Honduras,0.646018505623775,0.38964853992343895,0.76679309946745,0.6960626563847514,0.8195188082680555,0.4501965838881153,0.16281555176902018
Latvia,0.6454080180131707,0.7427690195425148,0.9139497091099322,0.6836814122465068,0.4748490975345954,0.1323378803402696,0.1695384975508648
Ecuador,0.6406768526369988,0.5553438435531479,0.7889979562574255,0.7372361044382342,0.8008918264300317,0.20183169247855617,0.16271479140999956
Portugal,0.6379488069639406,0.7606032463411412,0.8655715043421519,0.8606987537960927,0.8508876885564107,0.09307768885927853,0.05201693834819843
Jamaica,0.6339234638149793,0.5069763104314141,0.9100017777514046,0.6929374716735874,0.7978483503211822,0.2040464805555848,0.056545240245958084
South Korea,0.6306039428932284,0.8103858909519883,0.7324789091956696,0.8986902880186453,0.37410564761634524,0.2988763898934149,0.17742495253226565
Japan,0.6302987444921759,0.8243273563947987,0.8609244670546097,0.9429319496100008,0.7146791616890202,0.0626727231399615,0.3403084952622263
Peru,0.6161814794283066,0.5977506696268828,0.7808421935498758,0.7245859391493582,0.7402740395213379,0.16077501837047464,0.05070250536936882
Serbia,0.6126330825509718,0.6430644679846989,0.857764886332883,0.7280655009800663,0.5703812816327793,0.263740369803908,0.11149917328503711
Bolivia,0.6067762763794231,0.4756866866390404,0.7381588234069544,0.5822089956821015,0.8286298650289057,0.24284261297721327,0.13681134088501923
Pakistan,0.5964362839576979,0.4013854909435837,0.5640979211968956,0.41301402989411606,0.5847960345027139,0.4013680754023105,0.2299339997851395
Paraguay,0.596207408002114,0.5843722113284101,0.8840956114021021,0.6467397331422148,0.8460048334450848,0.35853685068651153,0.12205924471765073
Dominican Republic,0.5956541392850185,0.6398172302793496,0.8586953304050495,0.6520411527583307,0.8119110973794191,0.19690079395639531,0.2174679242436519
Bosnia and Herzegovina,0.5927734491025716,0.5976506482137165,0.7779864529482257,0.7153436394368808,0.44047136446146223,0.4633184730090109,0.0021991183279675974
Moldova,0.5800679194923969,0.4606805698862038,0.7995206771352539,0.6269032853429226,0.5619330194049373,0.305449255694918,0.026968796843764298
Tajikistan,0.5701857701718868,0.30902713673193444,0.7872857136490589,0.5981598442969717,0.7517142551984203,0.320134664734583,0.41597079639099666
Montenegro,0.5683543983393476,0.6573604318972825,0.8178370064473404,0.7374041199604072,0.4373818253453448,0.2615070841298881,0.18462506657233824
Russia,0.5683352949781619,0.7334008487183685,0.8908458821398438,0.5980290047158365,0.5762536926798592,0.17381453822703682,0.0857138056954615
Kyrgyzstan,0.5674768280507885,0.33395519816440494,0.8665448873377521,0.5982047450677825,0.8865484537601565,0.5288934223419084,0.05714337954477611
Belarus,0.5671715386504621,0.6630249211867378,0.8963353046716096,0.6614336041263753,0.419397543822739,0.15782886198060544,0.3631304513833036
Northern Cyprus,0.566332175084274,0.7892355663510385,0.7644830894755348,0.9018384054820121,0.6893208762830524,0.34951780216476114,0.3747506729672584
Greece,0.5624212697223304,0.7340975375642753,0.7553619503691122,0.8608011079487874,0.25028670046894513,0.0,0.09161255164846316
Hong Kong S.A.R.,0.561543699433771,0.8959246992525318,0.8035735870951364,0.9989598007607502,0.6625936202226659,0.5059212639506333,0.6236102456012196
Croatia,0.5604563565508136,0.7217033292207546,0.8473071187039167,0.7914961719283958,0.5502281817437494,0.20006357430370098,0.023116801992336566
Libya,0.5574230216682033,0.665015734558681,0.7730091031006074,0.5410607740357333,0.6510505649574074,0.25053395837592196,0.3230875511177058
Mongolia,0.5512037982020935,0.5888506759016024,0.9427250789258743,0.5412027180201158,0.5130799413481202,0.46310874923442646,0.08727761353938279
Malaysia,0.5374871569643823,0.7603564612379811,0.7586114107098412,0.6930057883544225,0.861051571327966,0.4824140912639494,0.11659327860204882
Vietnam,0.5316112474316481,0.4673023807385344,0.8097060785361977,0.7199189228394851,0.9387904182423727,0.2395321478248144,0.168519921582846
Indonesia,0.5186577385047042,0.5802919092682519,0.7462038765236878,0.5364997331891448,0.8195380778326484,0.9523225870976625,0.0717954370766839
Ivory Coast,0.5086802545675878,0.3495170115089754,0.5167640568580089,0.13617557928415097,0.5728249255514253,0.2981949327097593,0.17536087885430718
Benin,0.5053798370070226,0.23833566081265192,0.22773057609707,0.28832735414243493,0.5853991653049072,0.3451486087041767,0.23619803836795772
Maldives,0.5018695558527856,0.6103201077574081,0.9061237125725181,0.8036809147996167,0.7907502023740814,0.39345883859458003,0.13486794883165953
Republic of Congo,0.5012590682421811,0.4123293865775718,0.4895657485056845,0.4026150547858272,0.5575233543328081,0.20570933989402493,0.22257913658873618
Azerbaijan,0.49561221666357835,0.6444251456469228,0.762883104054073,0.6425777290816853,0.6746786989843487,0.07039706058199562,0.4638497714584846
Macedonia,0.4946583241203247,0.6086982199320947,0.7645375819516231,0.7057339265195542,0.5917238475205958,0.3261829854836252,0.04613053556339575
