title,artist,genre,year,bpm,energy,danceability,dB,liveness,valence,duration_ms,acousticness,speechiness,popularity
"Hey, Soul Sister",Train,neo mellow,2010,97,0.89,0.67,-4,0.08,0.8,217,0.19,0.04,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87,0.93,0.75,-5,0.52,0.64,263,0.24,0.23,82
TiK ToK,Kesha,dance pop,2010,120,0.84,0.76,-3,0.29,0.71,200,0.1,0.14,80
Bad Romance,Lady Gaga,dance pop,2010,119,0.92,0.7,-4,0.08,0.71,295,0.0,0.04,79
Just the Way You Are,Bruno Mars,pop,2010,109,0.84,0.64,-5,0.09,0.43,221,0.02,0.04,78
Baby,Justin Bieber,canadian pop,2010,65,0.86,0.73,-5,0.11,0.54,214,0.04,0.14,77
Dynamite,Taio Cruz,dance pop,2010,120,0.78,0.75,-4,0.04,0.82,203,0.0,0.09,77
Secrets,OneRepublic,dance pop,2010,148,0.76,0.52,-6,0.12,0.38,225,0.07,0.04,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,0.37,0.48,-8,0.12,0.14,216,0.74,0.03,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126,0.72,0.79,-4,0.07,0.61,235,0.13,0.04,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,0.87,0.62,-4,0.06,0.47,235,0.03,0.03,73
Marry You,Bruno Mars,pop,2010,145,0.83,0.62,-5,0.1,0.48,230,0.33,0.04,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,0.82,0.77,-5,0.7,0.63,213,0.18,0.05,73
Telephone,Lady Gaga,dance pop,2010,122,0.83,0.83,-6,0.11,0.71,221,0.01,0.04,73
Like A G6,Far East Movement,dance pop,2010,125,0.84,0.44,-8,0.12,0.78,217,0.01,0.45,72
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,0.75,0.78,-6,0.36,0.33,269,0.2,0.03,72
Eenie Meenie,Sean Kingston,dance pop,2010,121,0.61,0.72,-4,0.11,0.83,202,0.05,0.03,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,0.81,0.82,-8,0.6,0.44,308,0.07,0.07,70
Alejandro,Lady Gaga,dance pop,2010,99,0.8,0.63,-7,0.36,0.37,274,0.0,0.05,69
Your Love Is My Drug,Kesha,dance pop,2010,120,0.61,0.83,-4,0.09,0.76,187,0.01,0.1,69
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,0.63,0.8,-7,0.32,0.4,284,0.0,0.07,68
Whataya Want from Me,Adam Lambert,australian pop,2010,186,0.68,0.44,-5,0.06,0.45,227,0.01,0.05,66
Take It Off,Kesha,dance pop,2010,125,0.68,0.73,-5,0.09,0.74,215,0.0,0.03,66
Misery,Maroon 5,pop,2010,103,0.81,0.7,-5,0.22,0.73,216,0.0,0.04,65
All The Right Moves,OneRepublic,dance pop,2010,146,0.95,0.53,-4,0.28,0.65,238,0.26,0.05,65
Animal,Neon Trees,indie pop,2010,148,0.83,0.48,-6,0.38,0.74,212,0.0,0.04,65
Naturally,Selena Gomez & The Scene,dance pop,2010,133,0.9,0.61,-5,0.05,0.88,203,0.02,0.05,64
I Like It,Enrique Iglesias,dance pop,2010,129,0.94,0.65,-3,0.06,0.73,231,0.02,0.09,63
Teenage Dream,Katy Perry,dance pop,2010,120,0.8,0.72,-5,0.13,0.59,228,0.02,0.04,63
California Gurls,Katy Perry,dance pop,2010,125,0.75,0.79,-4,0.18,0.4,235,0.0,0.05,62
3,Britney Spears,dance pop,2010,135,0.71,0.7,-2,0.14,0.79,213,0.05,0.05,62
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,0.89,0.68,-4,0.36,0.83,192,0.01,0.08,62
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,0.84,0.75,-3,0.42,0.52,172,0.08,0.12,62
Imma Be,The Black Eyed Peas,dance pop,2010,92,0.52,0.6,-7,0.31,0.41,258,0.18,0.37,62
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,0.82,0.5,-5,0.13,0.55,249,0.16,0.11,62
