AÑO	 ACCIDENTALES	INTENCIONALES	NATURALES	DESCONOCIDAS	TOTAL
2003	33386	4477	6	4119	41988
2004	27030	10682	104	12872	50687
2005	41660	14681	18	8941	65300
2006	12984	4888	5	1445	19322
2007	19679	7570	3	16132	43384
2008	23349	15314	85	3289	42037
2009	30811	21471	574	11367	64223
2010	38410	14489	5	5460	58364
2011	24202	10308	7	12519	47035
2012	45504	37203	72	7501	90279
2013	10479	4043	2	2585	17109
2014	73696	19548	1770	10979	105992
2015	49733	57319	8348	13254	128654
2016	28234	11594	8	2261	42097
2017	239820	152334	82	177962	570197
2018	20507	14625	97	4325	39554
2019	47467	23371	2104	7123	80064
2020	34703	56490	9	11090	102292
