PERIODO	COMUNA	NÚMERO INCENDIOS FORESTALES	PINO INSIGNE 0 A 10 AÑOS	PINO INSIGNE 11 A 17 AÑOS	PINO INSIGNE 18 O MÁS AÑOS	PINO INSIGNE	EUCALIPTO	OTRAS SP.	TOTAL PLANTACIONES	ARBOLADO	MATORRAL	PASTIZAL	TOTAL NATURAL	TOTAL FORESTAL	TOTAL OTRAS SUPERFICIES	TOTAL SUPERFICIE AFECTADA
2019 - 2020	ARICA	4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,60	2,63	3,23	3,23	0,00	3,23
2019 - 2020	CAMARONES	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,01	0,30	18,19	18,50	18,50	0,00	18,50
2019 - 2020	PUTRE	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,10	0,00	1,00	1,10	1,10	0,00	1,10
2019 - 2020	GENERAL LAGOS	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	IQUIQUE	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	ALTO HOSPICIO	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	POZO ALMONTE	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,05	0,05	0,05	0,00	0,05
2019 - 2020	CAMIÑA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	COLCHANE	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	HUARA	6	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,03	5,92	0,58	6,53	6,53	0,20	6,73
2019 - 2020	PICA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	ANTOFAGASTA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	MEJILLONES	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	SIERRA GORDA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	TALTAL	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	CALAMA	8	0,00	0,00	0,00	0,00	0,00	12,00	12,00	0,03	14,39	27,71	42,13	54,13	0,00	54,13
2019 - 2020	OLLAGUE	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	SAN PEDRO DE ATACAMA	3	0,00	0,00	0,00	0,00	0,00	0,06	0,06	0,03	0,00	0,03	0,06	0,13	0,00	0,13
2019 - 2020	TOCOPILLA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	MARIA ELENA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	COPIAPÓ	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,20	0,00	0,00	0,20	0,20	0,00	0,20
2019 - 2020	CALDERA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	TIERRA AMARILLA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	CHAÑARAL	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	DIEGO DE ALMAGRO	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	VALLENAR	24	0,00	0,00	0,00	0,00	10,31	0,02	10,33	9,87	16,32	3,06	29,25	39,57	0,01	39,58
2019 - 2020	ALTO DEL CARMEN	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,51	1,51	1,51	0,00	1,51
